provider,engine,sampler,n_for_train,seed,dataset,accuracy,precision,recall,f1
anthropic,claude-3-haiku-20240307,random,10,12345,data/USPTO_R_text.csv,0.52,0.5151515151515151,1.0,0.68
anthropic,claude-3-opus-20240229,random,4,42,data/USPTO_R_text.csv,0.6,0.6122448979591837,0.5882352941176471,0.6
anthropic,claude-3-opus-20240229,random,4,84,data/USPTO_R_text.csv,0.61,0.65,0.5098039215686274,0.5714285714285714
anthropic,claude-3-opus-20240229,random,4,200,data/USPTO_R_text.csv,0.52,0.5319148936170213,0.4901960784313725,0.5102040816326531
mistral,mistral-small-latest,random,2,36,data/USPTO_R_text.csv,0.51,0.5108695652173914,0.9215686274509804,0.6573426573426573
mistral,mistral-small-latest,random,2,42,data/USPTO_R_text.csv,0.51,0.5108695652173914,0.9215686274509804,0.6573426573426573
mistral,mistral-small-latest,random,2,84,data/USPTO_R_text.csv,0.51,0.5108695652173914,0.9215686274509804,0.6573426573426573
mistral,mistral-small-latest,random,2,200,data/USPTO_R_text.csv,0.51,0.5108695652173914,0.9215686274509804,0.6573426573426573
mistral,mistral-small-latest,random,2,12345,data/USPTO_R_text.csv,0.51,0.5108695652173914,0.9215686274509804,0.6573426573426573
mistral,mistral-small-latest,random,4,36,data/USPTO_R_text.csv,0.55,0.5441176470588235,0.7254901960784313,0.6218487394957983
mistral,mistral-small-latest,random,4,42,data/USPTO_R_text.csv,0.58,0.6153846153846154,0.4705882352941176,0.5333333333333333
mistral,mistral-small-latest,random,4,84,data/USPTO_R_text.csv,0.61,0.6111111111111112,0.6470588235294118,0.6285714285714286
mistral,mistral-small-latest,random,4,200,data/USPTO_R_text.csv,0.58,0.576271186440678,0.6666666666666666,0.6181818181818182
mistral,mistral-small-latest,random,4,12345,data/USPTO_R_text.csv,0.63,0.6521739130434783,0.5882352941176471,0.6185567010309279
mistral,mistral-small-latest,random,8,12345,data/USPTO_R_text.csv,0.53,0.524390243902439,0.8431372549019608,0.6466165413533834
mistral,mistral-small-latest,random,10,36,data/USPTO_R_text.csv,0.54,0.5316455696202531,0.8235294117647058,0.6461538461538462
mistral,mistral-small-latest,random,10,42,data/USPTO_R_text.csv,0.6,0.5964912280701754,0.6666666666666666,0.6296296296296297
mistral,mistral-small-latest,random,10,84,data/USPTO_R_text.csv,0.6,0.6571428571428571,0.4509803921568627,0.5348837209302325
mistral,mistral-small-latest,random,10,200,data/USPTO_R_text.csv,0.54,0.5384615384615384,0.6862745098039216,0.603448275862069
mistral,mistral-small-latest,random,10,12345,data/USPTO_R_text.csv,0.56,0.5492957746478874,0.7647058823529411,0.639344262295082
mistral,mistral-large-latest,random,6,36,data/USPTO_R_text.csv,0.59,0.6190476190476191,0.5098039215686274,0.5591397849462365
mistral,mistral-large-latest,random,6,42,data/USPTO_R_text.csv,0.61,0.6428571428571429,0.5294117647058824,0.5806451612903226
mistral,mistral-large-latest,random,6,84,data/USPTO_R_text.csv,0.63,0.6521739130434783,0.5882352941176471,0.6185567010309279
mistral,mistral-large-latest,random,6,200,data/USPTO_R_text.csv,0.62,0.6444444444444445,0.5686274509803921,0.6041666666666666
mistral,mistral-large-latest,random,6,12345,data/USPTO_R_text.csv,0.59,0.6666666666666666,0.392156862745098,0.4938271604938271
mistral,mistral-large-latest,random,8,36,data/USPTO_R_text.csv,0.6,0.6,0.6470588235294118,0.6226415094339622
mistral,mistral-large-latest,random,8,42,data/USPTO_R_text.csv,0.57,0.5540540540540541,0.803921568627451,0.656
mistral,mistral-large-latest,random,8,84,data/USPTO_R_text.csv,0.62,0.6181818181818182,0.6666666666666666,0.6415094339622641
mistral,mistral-large-latest,random,8,200,data/USPTO_R_text.csv,0.61,0.5882352941176471,0.7843137254901961,0.6722689075630253
mistral,mistral-large-latest,random,8,12345,data/USPTO_R_text.csv,0.57,0.5454545454545454,0.9411764705882352,0.6906474820143885
mistral,mistral-large-latest,random,10,36,data/USPTO_R_text.csv,0.55,0.5365853658536586,0.8627450980392157,0.6616541353383458
mistral,mistral-large-latest,random,10,42,data/USPTO_R_text.csv,0.56,0.5573770491803278,0.6666666666666666,0.6071428571428571
mistral,mistral-large-latest,random,10,84,data/USPTO_R_text.csv,0.62,0.6326530612244898,0.6078431372549019,0.62
mistral,mistral-large-latest,random,10,200,data/USPTO_R_text.csv,0.56,0.5454545454545454,0.8235294117647058,0.65625
mistral,mistral-large-latest,random,10,12345,data/USPTO_R_text.csv,0.56,0.5714285714285714,0.5490196078431373,0.56
mistral,mistral-large-latest,random,2,36,data/USPTO_R_text.csv,0.58,0.5789473684210527,0.6470588235294118,0.6111111111111112
mistral,mistral-large-latest,random,2,42,data/USPTO_R_text.csv,0.58,0.5789473684210527,0.6470588235294118,0.6111111111111112
mistral,mistral-large-latest,random,2,84,data/USPTO_R_text.csv,0.58,0.5789473684210527,0.6470588235294118,0.6111111111111112
mistral,mistral-large-latest,random,2,200,data/USPTO_R_text.csv,0.58,0.5789473684210527,0.6470588235294118,0.6111111111111112
mistral,mistral-large-latest,random,2,12345,data/USPTO_R_text.csv,0.58,0.5789473684210527,0.6470588235294118,0.6111111111111112
mistral,mistral-large-latest,random,4,36,data/USPTO_R_text.csv,0.62,0.6857142857142857,0.4705882352941176,0.5581395348837209
mistral,mistral-large-latest,random,4,42,data/USPTO_R_text.csv,0.53,0.6428571428571429,0.1764705882352941,0.2769230769230769
mistral,mistral-large-latest,random,4,84,data/USPTO_R_text.csv,0.55,0.625,0.2941176470588235,0.4
mistral,mistral-large-latest,random,4,200,data/USPTO_R_text.csv,0.57,0.6538461538461539,0.3333333333333333,0.4415584415584415
mistral,mistral-large-latest,random,4,12345,data/USPTO_R_text.csv,0.55,0.6875,0.2156862745098039,0.3283582089552239
mistral,mistral-small-latest,random,6,36,data/USPTO_R_text.csv,0.59,0.6136363636363636,0.5294117647058824,0.5684210526315789
mistral,mistral-small-latest,random,6,42,data/USPTO_R_text.csv,0.63,0.625,0.6862745098039216,0.6542056074766355
mistral,mistral-small-latest,random,6,84,data/USPTO_R_text.csv,0.6,0.6037735849056604,0.6274509803921569,0.6153846153846154
mistral,mistral-small-latest,random,6,200,data/USPTO_R_text.csv,0.59,0.5735294117647058,0.7647058823529411,0.6554621848739496
mistral,mistral-small-latest,random,6,12345,data/USPTO_R_text.csv,0.62,0.5970149253731343,0.7843137254901961,0.6779661016949152
mistral,mistral-small-latest,random,8,36,data/USPTO_R_text.csv,0.56,0.559322033898305,0.6470588235294118,0.6
